type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
red,11,0.595,0.575,2.15,0.137,7.5,31.5,1.0001,3.205,0.6,8.7
red,7.95,1.3,0.01,2.75,0.1105,5.5,10,0.99684,3.49,0.445,10.95
red,7.35,0.57,0.055,3,0.079,11.5,35.5,0.9965,3.375,0.49,9
red,7.6,0.5525,0.2,1.7,0.081,18,71,0.996525,3.275,0.775,9.075
red,6.25,0.5,0.16,8.6,0.0555,8.5,66.5,0.9953,3.375,0.56,11.65
red,6.55,0.46,0.275,4.2,0.052,5.5,37.5,0.99453,3.59,0.56,12.55
red,9.95,0.44,0.44,7.7,0.187,37.5,86,1.00078,3.155,0.7,8.65
red,8.45,0.56,0.29,7.8,0.1405,28,53,1.00011,3.32,0.64,8.9
red,9.55,0.515,0.44,3.55,0.0845,20,88,0.99775,3.405,0.7,13
red,11.95,0.48,0.365,5.05,0.076,12.5,39,0.99523,3.1,0.605,13.95
red,11.1,0.275,0.57,1.7,0.0655,8.5,20,0.99875,3.09,0.83,8.55
red,8.15,0.4825,0.335,2.25,0.082,22.5,45,0.998,3.32,0.67,8.85
red,5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14
red,6.9,0.42,0.23,2.1,0.0565,16.5,39,0.99277,3.51,0.77,14
red,15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2
red,7.65,0.55,0.09,1.95,0.079,10.5,26.5,0.9968,3.37,0.595,9.5
red,6.25,0.39,0.17,1.8,0.0595,18,63,0.992435,3.53,0.805,13.6
red,5.1,0.445,0.055,2.15,0.048,16,65.5,0.99168,3.625,0.81,13.8
red,9.9,0.32,0.525,1.95,0.0665,4.5,21,0.99735,3.055,0.96,9.9
red,5.25,0.455,0.135,1.9,0.052,23.5,68.5,0.99125,3.61,0.78,14
